	title	artist	weeks	rank	query_week	lyrics
0	Starboy	The Weeknd Featuring Daft Punk	14	1	2016-12-31	"I'm tryna put you in the worst mood, ah
P1 cleaner than your church shoes, ah
Milli point two just to hurt you, ah
All red Lamb' just to tease you, ah
None of these toys on lease too, ah
Made your whole year in a week too, yah
Main bitch out your league too, ah
Side bitch out of your league too, ah

House so empty, need a centerpiece
Twenty racks a table, carved from ebony
Cut that ivory into skinny pieces
Then she clean it with her face man I love my baby
You talking money, need a hearing aid
You talking 'bout me, I don't see a shade
Switch out my side, I'll take any lane
I switch out my car if I kill any pain

Look what you've done
I'm a motherfucking Starboy
Look what you've done
I'm a motherfucking Starboy

Every day a nigga try to test me, ah
...

"
1	Black Beatles	Rae Sremmurd Featuring Gucci Mane	15	2	2016-12-31	"Black beatles in the city be back immediately to confiscate the moneys
Rae Sremm, Guwop, Mike WiLL!
I sent flowers, but you said you didn't receive 'em
But you said you didn't need them

That girl is a real crowd pleaser
Small world, all her friends know me
Young bull livin' like an old geezer
Release the cash, watch it fall slowly
Frat girls still tryna get even
Haters mad for whatever reason
Smoke in the air, binge drinkin'
They lose it when the DJ drops the needle

Gettin' so cold I'm not blinkin'
What in the world was I thinkin'?
New day, new money to be made
There is nothing to explain
I'm a fuckin black Beatle, cream seats in the Regal
Rockin John Lennon lenses like to see 'em spread eagle
Took a bitch to the club and let her party on the table
Screamin' ""everybody's famous""
Like clockwork, I blow it all
And get some more
Get you somebody that can do both
Black Beatles got the babes belly rolling
She think she love me
...

"
2	Closer	The Chainsmokers Featuring Halsey	21	3	2016-12-31	"Hey, I was doing just fine before I met you
I drink too much and that's an issue, but I'm okay
Hey, you tell your friends it was nice to meet them
But I hope I never see them again

I know it breaks your heart
Moved to the city in a broke-down car and
4 years, no calls
Now you're looking pretty in a hotel bar and
I-I-I can't stop
No, I-I-I can't stop

So, baby, pull me closer
In the back seat of your Rover
That I know you can't afford
Bite that tattoo on your shoulder

Pull the sheets right off the corner
Of that mattress that you stole
From your roommate back in Boulder
We ain't ever getting older

We ain't ever getting older
We ain't ever getting older
...

"
3	24K Magic	Bruno Mars	11	4	2016-12-31	"Tonight
I just want to take you higher
Throw your hands up in the sky
Let's set this party off right

Players, put yo' pinky rings up to the moon
Girls, what y'all trying to do?
24 karat magic in the air
Head to toe soul player
Uh, look out!

Pop pop, it's show time (Show time)
Show time (Show time)
Guess who's back again?
Oh they don't know? (Go on tell 'em)
Oh they don't know? (Go on tell 'em)
I bet they know soon as we walk in (Showin' up)
Wearing Cuban links (ya)
Designer minks (ya)
Inglewood's finest shoes (Whoop, whoop)
Don't look too hard
Might hurt ya'self
Known to give the color red the blues

Ooh shit, I'm a dangerous man with some money in my pocket
(Keep up)
So many pretty girls around me and they waking up the rocket
(Keep up)
Why you mad? Fix ya face
Ain't my fault y'all be jocking
(Keep up)
...

"
4	Juju On That Beat (TZ Anthem)	Zay Hilfigerrr & Zayion McCall	13	5	2016-12-31	"Do that one dance baby
That, that one dance
Yeah, oh
You don't know how to do that?
Baby do it for your grandma
Come on, I'm old and I'm trying to learn it
Well yeah, do it

Oh my god, oh my god. Girl ain't that Zay and Zayion?
Yas
Don't both of 'em got a girlfriend?
Girl I don't care
I don't care girl, he still cute
Oh yes

Walked in this party
And these girls lookin' at me
Skinny jeans on and you know my hair nappy
Hey, hey, hey
Okay, okay
I want y'all do it, do this dance now

JuJu on the beat
JuJu on that beat
JuJu on that, JuJu on that, JuJu on that beat
...

"
5	Side To Side	Ariana Grande Featuring Nicki Minaj	17	6	2016-12-31	"I've been here all night, Ariana
I've been here all day, Nicki Minaj
And boy, got me walkin' side to side
Let them hoes know

I'm talkin' to ya
See you standing over there with your body
Feeling like I wanna rock with your body
And we don't gotta think 'bout nothin' ('bout nothin')
I'm comin' at ya
Cause I know you got a bad reputation
Doesn't matter, cause you give me temptation
And we don't gotta think 'bout nothin' ('bout nothin')

These friends keep talkin' way too much
Saying I should give you up
Can't hear them no, cause I...

I've been here all night
I've been here all day
And boy, got me walkin' side to side
I've been here all night
I've been here all day
And boy, got me walkin' side to side (side to side)

Been tryna hide it
...

"
6	Let Me Love You	DJ Snake Featuring Justin Bieber	20	7	2016-12-31	"I used to believe
We were burning on the edge of something beautiful
Something beautiful
Selling a dream
Smoke and mirrors keep us waiting on a miracle
On a miracle

Say, go through the darkest of days
Heaven's a heartbreak away
Never let you go, never let me down
Oh, it's been a hell of a ride
Driving the edge of a knife
Never let you go, never let me down

Don't you give up, nah-nah-nah
I won't give up, nah-nah-nah
Let me love you
Let me love you

Don't you give up, nah-nah-nah
I won't give up, nah-nah-nah
Let me love you
Let me love you
...

"
7	Don't Wanna Know	Maroon 5 Featuring Kendrick Lamar	11	8	2016-12-31	"Oh, oh hey
Oh, oh, oh hey
Oh, oh, oh, oh hey
Ooh oh, ooh oh

I don't wanna know, know, know, know
Who's taking you home, home, home, home
And loving you so, so, so, so
The way I used to love you, no

I don't wanna know, know, know, know
Who's taking you home, home, home, home
And loving you so, so, so, so
The way I used to love you, oh
I don't wanna know

Wasted (wasted)
And the more I drink, the more I think about you
Oh no, no, I can't take it
Baby, every place I go reminds me of you

Do you think of me?
Of what we used to be?
Is it better now that I'm not around?
My friends're all acting strange
They don't bring up your name
Are you happy now?
Are you happy now?

I don't wanna know, know, know, know
Who's taking you home, home, home, home
And loving you so, so, so, so
The way I used to love you, no
...

"
8	Bad Things	Machine Gun Kelly x Camila Cabello	8	9	2016-12-31	"Am I out of my head?
Am I out of my mind?
If you only knew the bad things I like
Don't think that I can explain it
What can I say, it's complicated
Don't matter what you say
Don't matter what you do
I only wanna do bad things to you
So good, that you can't explain it
What can I say, it's complicated

Nothing's that bad
If it feels good
So you come back
Like I knew you would
And we're both wild
And the night's young
And you're my drug
Breathe you in 'til my face numb
Drop it down to that bass drum
I got what you dream about
Nails scratchin' my back tatt
Eyes closed while you scream out
And you keep me in with those hips
While my teeth sink in those lips
While your body's giving me life
And you suffocate in my kiss
Then you said

I want you forever
Even when we're not together
Scars on my body so I can take you wherever
I want you forever
Even when we're not together
Scars on my body I can look at you whenever

...

"
9	Fake Love	Drake	9	10	2016-12-31	"Yeah, yeah

I've been down so long it look like up to me
They look up to me
I got fake people showin' fake love to me
Straight up to my face
Straight up to my face
I've been down so long it look like up to me
They look up to me
I got fake people showin' fake love to me
Straight up to my face
Straight up to my face

Somethin' ain't right when we talkin'
Somethin' ain't right when we talkin'
Look like you hidin' your problems
Really you never was all in
No you can't son me, you won't never get to run me
Just when shit look out of reach, I reach back like one, three
Like one, three, yeah

That's when they smile in my face
Whole time they wanna take my place
Whole time they wanna take my place
...

"
